MEDICATION_NM,ingredient,concept_id
METHIMAZOLE 2.5 MG OR TABS (HALF TABLET),methimazole,1504620
CLINDAMYCIN PHOSPHATE IN D5W 900 MG/50ML IV SOLN,clindamycin phosphate in d,997881
AMPICILLIN IVPB 1 GM,ampicillin ivpb,1717327
BUPIVACAINE 0.1% (CONC 1 MG/ML) PAIN MANAGEMENT PCEA (UCI),bupivacaine,732893
BUPIVACAINE 0.1% (CONC 1 MG/ML) PAIN MANAGEMENT PCEA (UCI),pain management pcea,
IPRATROPIUM BROMIDE HFA 17 MCG/ACT IN AERS,ipratropium bromide hfa,1112921
IPRATROPIUM BROMIDE HFA 17 MCG/ACT IN AERS,act in aers,
"HEPARIN 3,000 UNITS IN 3000 ML STERILE WATER SOLUTION (OPTIME)",heparin,1367571
"HEPARIN 3,000 UNITS IN 3000 ML STERILE WATER SOLUTION (OPTIME)",ml sterile water solution,
VANCOMYCIN IVPB 1000 MG IN 100 ML NS - NEUROSURGERY (UCI),vancomycin ivpb,1707687
VANCOMYCIN IVPB 1000 MG IN 100 ML NS - NEUROSURGERY (UCI),ml ns,
VANCOMYCIN IVPB 1000 MG IN 100 ML NS - NEUROSURGERY (UCI),neurosurgery,
OLOPATADINE HCL 0.2 % OP SOLN,olopatadine hcl,915855
OLOPATADINE HCL 0.2 % OP SOLN,op soln,
OLANZAPINE ODT 15 MG OR TBDP,olanzapine odt,785788
OLANZAPINE ODT 15 MG OR TBDP,mg or tbdp,
VARENICLINE TARTRATE 0.5 MG OR TABS,varenicline tartrate,780442
FENTANYL 25 MCG/HR TD PT72,fentanyl,1154029
FENTANYL 25 MCG/HR TD PT72,hr td pt,
lidocaine 1% injection  - ADS OVERRIDE,lidocaine,989878
lidocaine 1% injection  - ADS OVERRIDE,injection,
PYRIDOXINE (B-6) 50 MG OR TABS,pyridoxine,19005046
SELEGILINE HCL 5 MG OR CAPS,selegiline hcl,766209
SELEGILINE HCL 5 MG OR CAPS,mg or caps,
GLUCAGON HCL RDNA (DIAGNOSTIC) 1 MG IJ SOLR,glucagon hcl rdna,1560278
MIDAZOLAM 250 MG/250 ML NS INFUSION (UCI),midazolam,708298
MIDAZOLAM 250 MG/250 ML NS INFUSION (UCI),ml ns infusion,
PROCHLORPERAZINE MALEATE 5 MG OR TABS,prochlorperazine maleate,752061
ERYTHROMYCIN BASE 500 MG OR TABS,erythromycin base,1746940
OCTREOTIDE ACETATE 100 MCG/ML IJ SOLN,octreotide acetate,1522957
MORPHINE SULFATE ER 60 MG PO TBCR,morphine sulfate er,1110410
MORPHINE SULFATE ER 60 MG PO TBCR,mg po tbcr,
SACUBITRIL-VALSARTAN 24-26 MG PO TABS,sacubitril,46275719
SACUBITRIL-VALSARTAN 24-26 MG PO TABS,valsartan,1308842
IODINE STRONG 5 % OR SOLN,iodine strong,1780601
CYCLOBENZAPRINE HCL 10 MG OR TABS,cyclobenzaprine hcl,778711
ISOSULFAN BLUE 1 % SC SOLN,isosulfan blue,
MICROFIBRILLAR COLL HEMOSTAT EX POWD,microfibrillar coll hemostat ex powd,
CEFTRIAXONE SODIUM 250 MG IJ SOLR,ceftriaxone sodium,1777806
ACETIC ACID 5 % SOLN,acetic acid,929549
ACETIC ACID 5 % SOLN,soln,
CALAMINE EX LOTN,calamine ex lotn,902616
HALOPERIDOL 5 MG OR TABS,haloperidol,766529
CLONAZEPAM 0.5 MG OR TABS,clonazepam,798874
NA HYALUR & NA CHOND-NA HYALUR 0.55-0.5 ML IO KIT,na hyalur,
NA HYALUR & NA CHOND-NA HYALUR 0.55-0.5 ML IO KIT,na chond,
NA HYALUR & NA CHOND-NA HYALUR 0.55-0.5 ML IO KIT,na hyalur,
NA HYALUR & NA CHOND-NA HYALUR 0.55-0.5 ML IO KIT,ml io kit,
LISINOPRIL 20 MG OR TABS,lisinopril,1308216
albuterol (PROVENTIL) (2.5 MG/3ML) 0.083% nebulizer solution  - ADS OVERRIDE,albuterol,1154343
albuterol (PROVENTIL) (2.5 MG/3ML) 0.083% nebulizer solution  - ADS OVERRIDE,nebulizer solution,
HYDROXYZINE HCL 25 MG/ML IM SOLN,hydroxyzine hcl,777221
HYDROXYZINE HCL 25 MG/ML IM SOLN,ml im soln,
INV TIRAPAZAMINE INJECTION (LT-001) (UCI),inv tirapazamine injection,
ZIPRASIDONE HCL 40 MG OR CAPS,ziprasidone hcl,712615
ZIPRASIDONE HCL 40 MG OR CAPS,mg or caps,
TOBRAMYCIN SULFATE 1.2 GM IJ SOLR,tobramycin sulfate,902722
DEXAMETHASONE SODIUM PHOSPHATE 20 MG/5ML IJ SOLN,dexamethasone sodium phosphate,1518254
TACE - DOXORUBICIN 75 MG (UCI),tace,
TACE - DOXORUBICIN 75 MG (UCI),doxorubicin,1338512
SUCRALFATE 1 GM OR TABS,sucralfate,1036228
SUCRALFATE 1 GM OR TABS,gm or tabs,
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT EPIDURAL (UCI),hydromorphone,1126658
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT EPIDURAL (UCI),ml bupivacaine,
HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT EPIDURAL (UCI),pain management epidural,
ETHACRYNATE SODIUM NEONATAL IN DEXTROSE 5% 1 ML (UCI),ethacrynate sodium neonatal in dextrose,987406
FENTANYL 2 MCG/ML BUPIVACAINE 0.0625% PAIN MANAGEMENT PCEA (UCI),fentanyl,1154029
FENTANYL 2 MCG/ML BUPIVACAINE 0.0625% PAIN MANAGEMENT PCEA (UCI),ml bupivacaine,
FENTANYL 2 MCG/ML BUPIVACAINE 0.0625% PAIN MANAGEMENT PCEA (UCI),pain management pcea,
FLECAINIDE ACETATE 50 MG OR TABS,flecainide acetate,1354860
CHLORTHALIDONE 12.5 MG OR TABS (HALF TABLET),chlorthalidone,1395058
NEOMYCIN-POLYMYXIN-HC 3.5-10000-1 OT SUSP,neomycin,915981
NEOMYCIN-POLYMYXIN-HC 3.5-10000-1 OT SUSP,polymyxin,
NEOMYCIN-POLYMYXIN-HC 3.5-10000-1 OT SUSP,hc,
NEOMYCIN-POLYMYXIN-HC 3.5-10000-1 OT SUSP,ot susp,
SULFUR HEXAFLUORIDE MICROSPH 60.7-25 MG IV SUSR,sulfur hexafluoride microsph,45892833
SULFUR HEXAFLUORIDE MICROSPH 60.7-25 MG IV SUSR,mg iv susr,
DOXAZOSIN MESYLATE 4 MG OR TABS,doxazosin mesylate,1363053
RABEPRAZOLE SODIUM 20 MG OR TBEC,rabeprazole sodium,911735
NEORAL 100 MG OR CAPS (UCI),neoral,
NEORAL 100 MG OR CAPS (UCI),mg or caps,
NEORAL 25 MG OR CAPS (UCI),neoral,
NEORAL 25 MG OR CAPS (UCI),mg or caps,
PREDNISOLONE 15 MG/5ML PO SOLN,prednisolone,1550557
PREDNISOLONE 15 MG/5ML PO SOLN,po soln,
TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP,triamcinolone acetonide,903963
TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP,ml ij susp,
CINACALCET HCL 60 MG OR TABS,cinacalcet hcl,1548111
PROPRANOLOL HCL 40 MG OR TABS,propranolol hcl,1353766
"TOBRAMYCIN 80 MG AND CEFAZOLIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)(UCI)",tobramycin,902722
"TOBRAMYCIN 80 MG AND CEFAZOLIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)(UCI)",mg and cefazolin,
"TOBRAMYCIN 80 MG AND CEFAZOLIN 1,000 MG IN 1,000 ML NS IRRIGATION (OPTIME)(UCI)",ml ns irrigation,
BUPIVACAINE 0.125% ANESTHESIA EPIDURAL INFUSION (UCI),bupivacaine,732893
BUPIVACAINE 0.125% ANESTHESIA EPIDURAL INFUSION (UCI),anesthesia epidural infusion,
MIRTAZAPINE 7.5 MG OR TABS,mirtazapine,725131
LINEZOLID 600 MG/300ML IV SOLN,linezolid,1736887
AZELASTINE HCL 137 MCG/SPRAY NA SOLN,azelastine hcl,934075
AZELASTINE HCL 137 MCG/SPRAY NA SOLN,spray na soln,
CHOLESTYRAMINE 4 GM OR PACK,cholestyramine,
CHOLESTYRAMINE 4 GM OR PACK,gm or pack,
OCTREOTIDE ACETATE 1000 MCG/ML IJ SOLN,octreotide acetate,1522957
POTASSIUM CHLORIDE CR 8 MEQ OR TBCR,potassium chloride cr,19049105
TIOTROPIUM BROMIDE-OLODATEROL 2.5-2.5 MCG/ACT IN AERS,tiotropium bromide,1106776
TIOTROPIUM BROMIDE-OLODATEROL 2.5-2.5 MCG/ACT IN AERS,olodaterol,45775116
TIOTROPIUM BROMIDE-OLODATEROL 2.5-2.5 MCG/ACT IN AERS,act in aers,
ERGOCALCIFEROL 8000 UNIT/ML OR SOLN,ergocalciferol,19045045
ERGOCALCIFEROL 8000 UNIT/ML OR SOLN,unit,
ERGOCALCIFEROL 8000 UNIT/ML OR SOLN,ml or soln,
LIOTHYRONINE SODIUM 5 MCG OR TABS,liothyronine sodium,1505346
CEFUROXIME IV PUSH 75 MG/ML IN SWFI,cefuroxime iv push,1778162
CEFUROXIME IV PUSH 75 MG/ML IN SWFI,ml in swfi,
ESOMEPRAZOLE MAGNESIUM 40 MG OR CPDR,esomeprazole magnesium,904453
ESOMEPRAZOLE MAGNESIUM 40 MG OR CPDR,mg or cpdr,
GENTAMICIN SULFATE 40 MG/ML IJ SOLN,gentamicin sulfate,45892419
VANCOMYCIN INTRATHECAL INJECTION (UCI),vancomycin intrathecal injection,1707687
INSULIN DETEMIR 100 UNIT/ML SC SOLN,insulin detemir,1516976
INSULIN DETEMIR 100 UNIT/ML SC SOLN,unit,
BICALUTAMIDE 50 MG OR TABS,bicalutamide,1344381
AMLODIPINE-BENAZEPRIL 10-40 MG OR CAPS,amlodipine,1332418
AMLODIPINE-BENAZEPRIL 10-40 MG OR CAPS,benazepril,1335471
AMLODIPINE-BENAZEPRIL 10-40 MG OR CAPS,mg or caps,
BACLOFEN 5 MG OR TABS (HALF TABLET),baclofen,715233
HYDROCORTISONE 20 MG OR TABS,hydrocortisone,975125
METHYLPREDNISOLONE SOD SUCCINATE OPHTHALMIC INJ 20 MG/ML (UCI),methylprednisolone sod succinate ophthalmic inj,1506270
MORPHINE SULFATE ER 30 MG PO TBCR,morphine sulfate er,1110410
MORPHINE SULFATE ER 30 MG PO TBCR,mg po tbcr,
FENOFIBRATE MICRONIZED 43 MG OR CAPS,fenofibrate micronized,1551803
FENOFIBRATE MICRONIZED 43 MG OR CAPS,mg or caps,
FLAX SEED OIL 1300 MG PO CAPS,flax seed oil,
FLAX SEED OIL 1300 MG PO CAPS,mg po caps,
HYPROMELLOSE 2.5 % OP SOLN,hypromellose,902251
HYPROMELLOSE 2.5 % OP SOLN,op soln,
LEVETIRACETAM IN NACL 1500 MG/100ML IV SOLN,levetiracetam in nacl,711584
GENTAMICIN INTRATHECAL INJECTION (UCI),gentamicin intrathecal injection,45892419
PYRIDOXINE (VIT B-6) 25 MG OR TABS,pyridoxine,19005046
DEXTROSE 50% 3 ML IN BSS PLUS OPHTHAMIC SOLUTION (OPTIME),dextrose,
DEXTROSE 50% 3 ML IN BSS PLUS OPHTHAMIC SOLUTION (OPTIME),ml in bss plus ophthamic solution,
DESMOPRESSIN ACETATE 1.5 MG/ML NA SOLN,desmopressin acetate,1517070
DESMOPRESSIN ACETATE 1.5 MG/ML NA SOLN,ml na soln,
PRIMIDONE 250 MG OR TABS,primidone,751347
DUTASTERIDE 0.5 MG OR CAPS,dutasteride,989482
DUTASTERIDE 0.5 MG OR CAPS,mg or caps,
BALANCED SALT IO SOLN,balanced salt io soln,
ACYCLOVIR IVPB <=700 MG,acyclovir ivpb,1703687
midazolam (VERSED) 2 MG/2ML injection  - ADS OVERRIDE,midazolam,708298
midazolam (VERSED) 2 MG/2ML injection  - ADS OVERRIDE,injection,
VECURONIUM 100 MG/100 ML INFUSION (UCI),vecuronium,19012598
PROPRANOLOL HCL CR 80 MG OR CP24,propranolol hcl cr,1353766
PROPRANOLOL HCL CR 80 MG OR CP24,mg or cp,
MODAFINIL 200 MG OR TABS,modafinil,710650
DESMOPRESSIN ACETATE 0.2 MG OR TABS,desmopressin acetate,1517070
CISPLATIN CHEMO INFUSION (UCI),cisplatin chemo infusion,1397599
FOSAPREPITANT IVPB (UCI),fosaprepitant ivpb,35605594
HYDROCHLOROTHIAZIDE 25 MG OR TABS,hydrochlorothiazide,974166
succinylcholine (ANECTINE) 20 MG/ML injection  - ADS OVERRIDE,succinylcholine,836208
succinylcholine (ANECTINE) 20 MG/ML injection  - ADS OVERRIDE,ml injection,
SPIRONOLACTONE 100 MG OR TABS,spironolactone,970250
CEFOTAXIME IV 2 GM (UCI),cefotaxime iv,1774470
MORPHINE 1 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),morphine,1110410
MORPHINE 1 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),ml premix pca infusion,
MORPHINE 1 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),tolerant,
OSIMERTINIB MESYLATE 80 MG PO TABS,osimertinib mesylate,35605522
vecuronium (NORCURON) 10 MG injection  - ADS OVERRIDE,vecuronium,19012598
vecuronium (NORCURON) 10 MG injection  - ADS OVERRIDE,mg injection,
ANTIHEMOPHILIC FACTOR-VWF 1000-2400 UNIT IV SOLR,antihemophilic factor,
ANTIHEMOPHILIC FACTOR-VWF 1000-2400 UNIT IV SOLR,vwf,
ANTIHEMOPHILIC FACTOR-VWF 1000-2400 UNIT IV SOLR,unit iv solr,
FENOFIBRATE 54 MG OR TABS,fenofibrate,1551803
GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,glycopyrrolate,
SPIRONOLACTONE 5 MG/ML OR SUSP (COMPOUNDED),spironolactone,970250
SPIRONOLACTONE 5 MG/ML OR SUSP (COMPOUNDED),ml or susp,
EMPAGLIFLOZIN 10 MG PO TABS,empagliflozin,45774751
METFORMIN HCL 850 MG OR TABS,metformin hcl,1503297
CALCIUM CHLORIDE INFUSION (ANESTHESIA),calcium chloride infusion,19036781
GLUCOSAMINE 750 MG OR TABS,glucosamine,1360332
ATROPINE SULFATE 1 % OP SOLN,atropine sulfate,914335
ATROPINE SULFATE 1 % OP SOLN,op soln,
ATORVASTATIN CALCIUM 5 MG OR TABS (HALF TABLET),atorvastatin calcium,1545958
NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT,nystatin,922570
NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT,triamcinolone,903963
NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT,unit,
NYSTATIN-TRIAMCINOLONE 100000-0.1 UNIT/GM-% EX OINT,ex oint,
AQUAPHOR EX OINT,aquaphor ex oint,
MIDAZOLAM HCL 5 MG/5ML IJ SOLN,midazolam hcl,708298
OLANZAPINE 2.5 MG OR TABS,olanzapine,785788
AMLODIPINE-VALSARTAN 5-320 MG OR TABS,amlodipine,1332418
AMLODIPINE-VALSARTAN 5-320 MG OR TABS,valsartan,1308842
CONJ ESTROG-MEDROXYPROGEST ACE 0.3-1.5 MG OR TABS,conj estrog,
CONJ ESTROG-MEDROXYPROGEST ACE 0.3-1.5 MG OR TABS,medroxyprogest ace,
DOXYCYCLINE HYCLATE 100 MG IV SOLR,doxycycline hyclate,1738521
DOXYCYCLINE HYCLATE 100 MG IV SOLR,mg iv solr,
DILTIAZEM INFUSION,diltiazem infusion,1328165
NITROGLYCERIN 0.1 MG/HR TD PT24,nitroglycerin,1361711
NITROGLYCERIN 0.1 MG/HR TD PT24,hr td pt,
LITHIUM CARBONATE 300 MG OR CAPS,lithium carbonate,751246
LITHIUM CARBONATE 300 MG OR CAPS,mg or caps,
QUETIAPINE FUMARATE ER 50 MG PO TB24,quetiapine fumarate er,766814
QUETIAPINE FUMARATE ER 50 MG PO TB24,mg po tb,
HYDROCHLOROTHIAZIDE 12.5 MG OR CAPS,hydrochlorothiazide,974166
HYDROCHLOROTHIAZIDE 12.5 MG OR CAPS,mg or caps,
"LIDOCAINE 1% W/ EPI 1:100,000 AND SODIUM BICARBOBATE (UCI)(OPTIME)",lidocaine,989878
"LIDOCAINE 1% W/ EPI 1:100,000 AND SODIUM BICARBOBATE (UCI)(OPTIME)",epi,
"LIDOCAINE 1% W/ EPI 1:100,000 AND SODIUM BICARBOBATE (UCI)(OPTIME)",and sodium bicarbobate,
BASILIXIMAB INFUSION,basiliximab infusion,19038440
TRIAZOLAM 0.25 MG OR TABS,triazolam,704599
SITAGLIPTIN PHOSPHATE 100 MG OR TABS,sitagliptin phosphate,1580747
CARBIDOPA-LEVODOPA CR 25-100 MG OR TBCR,carbidopa,740560
CARBIDOPA-LEVODOPA CR 25-100 MG OR TBCR,levodopa cr,789578
CARBIDOPA-LEVODOPA CR 25-100 MG OR TBCR,mg or tbcr,
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML OR SUSR,erythromycin ethylsuccinate,1746940
ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML OR SUSR,or susr,
METHYLPREDNISOLONE SODIUM SUCC 500 MG IJ SOLR,methylprednisolone sodium succ,1506270
METHYLPREDNISOLONE SODIUM SUCC 1000 MG IJ SOLR,methylprednisolone sodium succ,1506270
CHLORPROMAZINE HCL 25 MG/ML IJ SOLN,chlorpromazine hcl,794852
SALMETEROL XINAFOATE 50 MCG/DOSE IN AEPB,salmeterol xinafoate,1137529
SALMETEROL XINAFOATE 50 MCG/DOSE IN AEPB,dose in aepb,
POTASSIUM CHLORIDE IVPB 20 MEQ (UCI),potassium chloride ivpb,19049105
TRYPAN BLUE 0.15 % OP SOLN,trypan blue,19006155
TRYPAN BLUE 0.15 % OP SOLN,op soln,
"IC-GREEN, LOW DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",ic,
"IC-GREEN, LOW DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",green,
"IC-GREEN, LOW DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",low dose w,
"IC-GREEN, LOW DOSE W/ D50 OPHTHALMIC SOLUTION (OPTIME)",ophthalmic solution,
CEFAZOLIN OPHTHALMIC INJ 50 MG/ML (UCI),cefazolin ophthalmic inj,1771162
ISOPROTERENOL INFUSION (ANESTHESIA) (UCI),isoproterenol infusion,1183554
FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN OPTIME (UCI),fentanyl citrate,1154029
FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN OPTIME (UCI),ij soln optime,
ACETAZOLAMIDE 500 MG OR CP12,acetazolamide,929435
ACETAZOLAMIDE 500 MG OR CP12,mg or cp,
ACETAZOLAMIDE 250 MG OR TABS,acetazolamide,929435
BUPROPION HCL 100 MG OR TABS,bupropion hcl,750982
MOUTH KOTE MT SOLN,mouth kote mt soln,
ANTI-INFLAMMATORY LOCAL INJECTION (BUPIVACINE WITH EPINEPHRINE TETRACAINE METHYLPREDNISOLONE),anti,
ANTI-INFLAMMATORY LOCAL INJECTION (BUPIVACINE WITH EPINEPHRINE TETRACAINE METHYLPREDNISOLONE),inflammatory local injection,
CEVIMELINE HCL 30 MG OR CAPS,cevimeline hcl,954819
CEVIMELINE HCL 30 MG OR CAPS,mg or caps,
COLESTIPOL HCL 1 GM OR TABS,colestipol hcl,1501617
COLESTIPOL HCL 1 GM OR TABS,gm or tabs,
"BACITRACIN 50,000 UNITS IN 1000 ML STERILE WATER IRRIGATION (OPTIME)",bacitracin,915175
"BACITRACIN 50,000 UNITS IN 1000 ML STERILE WATER IRRIGATION (OPTIME)",ml sterile water irrigation,
TRYPAN BLUE 0.06 % OP SOLN,trypan blue,19006155
TRYPAN BLUE 0.06 % OP SOLN,op soln,
AMPHETAMINE-DEXTROAMPHETAMINE 15 MG OR TABS,amphetamine,714785
AMPHETAMINE-DEXTROAMPHETAMINE 15 MG OR TABS,dextroamphetamine,719311
LIDOCAINE HCL 2% EX GEL (UROJET),lidocaine hcl,989878
BSS IO SOLN - 500 ML (OPTIME),bss io soln,
SODIUM HYALURONATE 14 MG/ML IO SOLN,sodium hyaluronate,19136048
SODIUM HYALURONATE 14 MG/ML IO SOLN,ml io soln,
CARVEDILOL PHOSPHATE 20 MG OR CP24,carvedilol phosphate,1346823
CARVEDILOL PHOSPHATE 20 MG OR CP24,mg or cp,
ESTRADIOL 0.5 MG OR TABS,estradiol,1548195
NEOMYCIN-POLYMYXIN-DEXAMETH 0.1 % OP SUSP,neomycin,915981
NEOMYCIN-POLYMYXIN-DEXAMETH 0.1 % OP SUSP,polymyxin,
NEOMYCIN-POLYMYXIN-DEXAMETH 0.1 % OP SUSP,dexameth,
NEOMYCIN-POLYMYXIN-DEXAMETH 0.1 % OP SUSP,op susp,
WARFARIN PER PHARMACY - UCI,warfarin per pharmacy,1310149
WARFARIN PER PHARMACY - UCI,uci,
TACROLIMUS 0.5 MG/ML OR SUSP (COMPOUNDED),tacrolimus,950637
TACROLIMUS 0.5 MG/ML OR SUSP (COMPOUNDED),ml or susp,
AZITHROMYCIN 250 MG OR TABS,azithromycin,1734104
ATOVAQUONE 750 MG/5ML OR SUSP,atovaquone,1781733
ATOVAQUONE 750 MG/5ML OR SUSP,or susp,
GANCICLOVIR IVPB (UCI),ganciclovir ivpb,1757803
RIFABUTIN 150 MG OR CAPS,rifabutin,1777417
RIFABUTIN 150 MG OR CAPS,mg or caps,
EPINEPHRINE 16 MG/250 ML NS INFUSION - CENTRAL LINE ONLY (UCI),epinephrine,1343916
EPINEPHRINE 16 MG/250 ML NS INFUSION - CENTRAL LINE ONLY (UCI),ml ns infusion,
EPINEPHRINE 16 MG/250 ML NS INFUSION - CENTRAL LINE ONLY (UCI),central line only,
ACETAMINOPHEN-CODEINE #3 300-30 MG OR TABS,acetaminophen,1125315
ACETAMINOPHEN-CODEINE #3 300-30 MG OR TABS,codeine,1201620
CEFUROXIME AXETIL 500 MG OR TABS,cefuroxime axetil,1778162
PROMETHAZINE HCL 25 MG OR TABS,promethazine hcl,1153013
BEXAROTENE 1 % EX GEL,bexarotene,1389888
OCTREOTIDE LOADING DOSE FROM BAG,octreotide loading dose from bag,1522957
DRONABINOL 2.5 MG OR CAPS,dronabinol,1037005
DRONABINOL 2.5 MG OR CAPS,mg or caps,
CARBAMAZEPINE 100 MG OR TB12,carbamazepine,740275
CARBAMAZEPINE 100 MG OR TB12,mg or tb,
HYDROCORTISONE 2.5 % EX CREA,hydrocortisone,975125
HYDROCORTISONE 2.5 % EX CREA,ex crea,
calcium gluconate 10 % injection  - ADS OVERRIDE,calcium gluconate,19037038
calcium gluconate 10 % injection  - ADS OVERRIDE,injection,
DARBEPOETIN ALFA 40 MCG/0.4ML IJ SOSY,darbepoetin alfa,1304643
DARBEPOETIN ALFA 40 MCG/0.4ML IJ SOSY,ij sosy,
AZITHROMYCIN 200 MG/5ML OR SUSR,azithromycin,1734104
AZITHROMYCIN 200 MG/5ML OR SUSR,or susr,
AZITHROMYCIN IVPB 500 MG,azithromycin ivpb,1734104
LEVONORGEST-ETH ESTRAD 91-DAY 0.15-0.03 &0.01 MG OR TABS,levonorgest,
LEVONORGEST-ETH ESTRAD 91-DAY 0.15-0.03 &0.01 MG OR TABS,eth estrad,
LEVONORGEST-ETH ESTRAD 91-DAY 0.15-0.03 &0.01 MG OR TABS,day,
PAPAVERINE DILUTION IN NS (OPTIME),papaverine dilution in ns,1326901
PRISMASOL BGK 2/3.5 CRRT REPLACEMENT FLUID WITH ADDITIVES,prismasol bgk,
PRISMASOL BGK 2/3.5 CRRT REPLACEMENT FLUID WITH ADDITIVES,crrt replacement fluid with additives,
HYDROXOCOBALAMIN 5 G IV SOLR,hydroxocobalamin,1377023
HYDROXOCOBALAMIN 5 G IV SOLR,g iv solr,
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE PRE-FILTER FLUID,na bicarb,
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE PRE-FILTER FLUID,l in sterile water crrt machine pre,
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE PRE-FILTER FLUID,filter fluid,
LIDOCAINE HCL (PF) 2 % IJ SOLN,lidocaine hcl,989878
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE POST-FILTER FLUID,na bicarb,
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE POST-FILTER FLUID,l in sterile water crrt machine post,
NA BICARB 150 MEQ/L IN STERILE WATER CRRT MACHINE POST-FILTER FLUID,filter fluid,
BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL SUBL,buprenorphine hcl,1133201
BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL SUBL,naloxone hcl,1114220
BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL SUBL,mg sl subl,
OXYCODONE HCL ER 40 MG PO T12A,oxycodone hcl er,1124957
OXYCODONE HCL ER 40 MG PO T12A,mg po t,
TELMISARTAN 80 MG OR TABS,telmisartan,1317640
BUPIVACAINE DILUTION 0.0625% IJ SOLN (ANESTHESIA),bupivacaine dilution,732893
SITAGLIPTIN PHOSPHATE 25 MG OR TABS,sitagliptin phosphate,1580747
POLYMYXIN B-TRIMETHOPRIM 10000-0.1 UNIT/ML-% OP SOLN,polymyxin b,948582
POLYMYXIN B-TRIMETHOPRIM 10000-0.1 UNIT/ML-% OP SOLN,trimethoprim,1705674
POLYMYXIN B-TRIMETHOPRIM 10000-0.1 UNIT/ML-% OP SOLN,unit,
POLYMYXIN B-TRIMETHOPRIM 10000-0.1 UNIT/ML-% OP SOLN,op soln,
BRIMONIDINE TARTRATE 0.1 % OP SOLN,brimonidine tartrate,915542
BRIMONIDINE TARTRATE 0.1 % OP SOLN,op soln,
HEPARIN SODIUM (PORCINE) 10000 UNIT/ML IJ SOLN,heparin sodium,35884360
HEPARIN SODIUM (PORCINE) 10000 UNIT/ML IJ SOLN,unit,
ANIMAL SHAPES WITH C & FA OR CHEW,animal shapes with c,
ANIMAL SHAPES WITH C & FA OR CHEW,fa or chew,
VENLAFAXINE HCL 50 MG OR TABS,venlafaxine hcl,743670
LEECH TOP BUG,leech top bug,
LEFLUNOMIDE 20 MG OR TABS,leflunomide,1101898
FOLIC ACID IVPB (UCI),folic acid ivpb,19111620
GLYCOPYRROLATE 1 MG OR TABS,glycopyrrolate,
CARBIDOPA-LEVODOPA ER 61.25-245 MG PO CPCR,carbidopa,740560
CARBIDOPA-LEVODOPA ER 61.25-245 MG PO CPCR,levodopa er,789578
CARBIDOPA-LEVODOPA ER 61.25-245 MG PO CPCR,mg po cpcr,
EPLERENONE 25 MG OR TABS,eplerenone,1309799
FENTANYL 100 MCG/HR TD PT72,fentanyl,1154029
FENTANYL 100 MCG/HR TD PT72,hr td pt,
FLUCONAZOLE IVPB (VARIABLE DOSE),fluconazole ivpb,1754994
CEFTAZIDIME IV PUSH 2 GM IN SWFI 10 ML,ceftazidime iv push,1776684
GLYCERIN (LAXATIVE) 2 GM RE SUPP,glycerin,961145
GLYCERIN (LAXATIVE) 2 GM RE SUPP,gm re supp,
ACETAMINOPHEN-CODEINE 120-12 MG/5ML OR SOLN,acetaminophen,1125315
ACETAMINOPHEN-CODEINE 120-12 MG/5ML OR SOLN,codeine,1201620
FLUDEOXYGLUCOSE F-18 IV KIT,fludeoxyglucose f,
FLUDEOXYGLUCOSE F-18 IV KIT,iv kit,
EMTRICITABINE-TENOFOVIR AF 200-25 MG PO TABS,emtricitabine,1703069
EMTRICITABINE-TENOFOVIR AF 200-25 MG PO TABS,tenofovir af,19011093
